fantasymath_id,position,fleaflicker_id,espn_id,yahoo_id,sleeper_id
kyler-murray,QB,14664.0,3917315.0,31833.0,5849.0
patrick-mahomes,QB,12894.0,3139477.0,30123.0,4046.0
josh-allen,QB,13761.0,3918298.0,30977.0,4984.0
russell-wilson,QB,8598.0,14881.0,25785.0,1234.0
lamar-jackson,QB,13775.0,3916387.0,31002.0,4881.0
tom-brady,QB,309.0,2330.0,5228.0,167.0
aaron-rodgers,QB,3452.0,8439.0,7200.0,96.0
dak-prescott,QB,12159.0,2577417.0,29369.0,3294.0
justin-herbert,QB,15516.0,4038941.0,32676.0,6797.0
jalen-hurts,QB,15581.0,4040715.0,32723.0,6904.0
matthew-stafford,QB,6038.0,12483.0,9265.0,421.0
ryan-tannehill,QB,8514.0,14876.0,25718.0,1049.0
joe-burrow,QB,15532.0,3915511.0,32671.0,6770.0
baker-mayfield,QB,13758.0,3052587.0,30971.0,4892.0
kirk-cousins,QB,8625.0,14880.0,25812.0,1166.0
jameis-winston,QB,11183.0,2969939.0,28389.0,2306.0
ben-roethlisberger,QB,394.0,5536.0,6770.0,138.0
teddy-bridgewater,QB,10240.0,16728.0,27560.0,2152.0
matt-ryan,QB,5371.0,11237.0,8780.0,24.0
tua-tagovailoa,QB,15533.0,4241479.0,32675.0,6768.0
mac-jones,QB,16235.0,4241464.0,33403.0,7527.0
trevor-lawrence,QB,16242.0,4360310.0,33389.0,7523.0
sam-darnold,QB,13770.0,3912547.0,30973.0,4943.0
jimmy-garoppolo,QB,10311.0,16760.0,27590.0,1837.0
derek-carr,QB,10315.0,16757.0,27564.0,2028.0
tyrod-taylor,QB,7592.0,14163.0,24967.0,827.0
taylor-heinicke,QB,11615.0,2565969.0,28839.0,2711.0
jared-goff,QB,12102.0,3046779.0,29235.0,3163.0
carson-wentz,QB,12032.0,2573079.0,29236.0,3161.0
daniel-jones,QB,14668.0,3917792.0,31838.0,5870.0
zach-wilson,QB,16233.0,4361259.0,33390.0,7538.0
andy-dalton,QB,7404.0,14012.0,24822.0,829.0
chase-edmonds,RB,13870.0,3119195.0,31104.0,5000.0
james-conner,RB,12951.0,3045147.0,30218.0,4137.0
clyde-edwards-helaire,RB,15539.0,4242214.0,32702.0,6820.0
darrel-williams,RB,14329.0,3115375.0,31500.0,5549.0
jerick-mckinnon,RB,10310.0,16782.0,27624.0,2161.0
devin-singletary,RB,14736.0,4040761.0,31906.0,6130.0
matt-breida,RB,13358.0,3049916.0,30552.0,4455.0
zack-moss,RB,15548.0,4035676.0,32756.0,6845.0
chris-carson,RB,13141.0,3919596.0,30362.0,4273.0
deejay-dallas,RB,15680.0,4240631.0,32814.0,6931.0
alex-collins,RB,12164.0,3046409.0,29405.0,3327.0
travis-homer,RB,14810.0,4037457.0,32036.0,6012.0
tyson-williams,RB,15872.0,3895827.0,33006.0,7098.0
latavius-murray,RB,9504.0,15920.0,26804.0,1476.0
leonard-fournette,RB,12920.0,3115364.0,30117.0,3969.0
ronald-jones,RB,13785.0,3912550.0,31008.0,5052.0
giovani-bernard,RB,9341.0,15826.0,26660.0,1386.0
aaron-jones,RB,13111.0,3042519.0,30295.0,4199.0
aj-dillon,RB,15568.0,4239934.0,32732.0,6828.0
kylin-hill,RB,16542.0,4259805.0,33643.0,7572.0
ezekiel-elliott,RB,12025.0,3051392.0,29238.0,3164.0
tony-pollard,RB,14759.0,3916148.0,31960.0,5967.0
austin-ekeler,RB,13325.0,3068267.0,30423.0,4663.0
larry-rountree,RB,16433.0,,,7574.0
justin-jackson,RB,14018.0,3116136.0,31221.0,5131.0
miles-sanders,RB,14745.0,4045163.0,31885.0,6151.0
kenneth-gainwell,RB,16480.0,4371733.0,33538.0,7567.0
boston-scott,RB,13942.0,3051439.0,31171.0,5122.0
darrell-henderson,RB,14751.0,4039359.0,31902.0,5916.0
sony-michel,RB,13750.0,3128721.0,31001.0,4962.0
derrick-henry,RB,12042.0,3043078.0,29279.0,3198.0
jeremy-mcnichols,RB,12999.0,3127586.0,30275.0,4219.0
joe-mixon,RB,12975.0,3116385.0,30161.0,4018.0
samaje-perine,RB,13011.0,3116389.0,30227.0,4147.0
nick-chubb,RB,13802.0,3128720.0,31005.0,4988.0
kareem-hunt,RB,12934.0,3059915.0,30199.0,4098.0
dalvin-cook,RB,12929.0,3116593.0,30154.0,4029.0
alexander-mattison,RB,14700.0,4048244.0,31934.0,5987.0
alvin-kamara,RB,12965.0,3054850.0,30180.0,4035.0
tony-jones-rb,RB,16039.0,4046676.0,33114.0,6984.0
najee-harris,RB,16246.0,4241457.0,33412.0,7528.0
benjamin-snell,RB,14790.0,4035072.0,31954.0,6156.0
melvin-gordon,RB,11180.0,2576434.0,28403.0,2320.0
javonte-williams,RB,16282.0,4361579.0,33423.0,7588.0
mike-davis,RB,11373.0,3025433.0,28514.0,2431.0
myles-gaskin,RB,14897.0,3886818.0,32066.0,5980.0
malcolm-brown,RB,11724.0,2570986.0,28990.0,2588.0
salvon-ahmed,RB,15937.0,4243315.0,33265.0,6918.0
damien-harris,RB,14712.0,3925347.0,31919.0,5890.0
james-white,RB,10475.0,16913.0,27658.0,1848.0
rhamondre-stevenson,RB,16339.0,4569173.0,33508.0,7611.0
jj-taylor,RB,16076.0,4039607.0,33028.0,6973.0
james-robinson,RB,16105.0,4052042.0,33138.0,6955.0
carlos-hyde,RB,10335.0,16777.0,27585.0,2257.0
christian-mccaffrey,RB,12892.0,3117251.0,30121.0,4034.0
chuba-hubbard,RB,16361.0,4241416.0,33514.0,7594.0
elijah-mitchell-rb,RB,13728.0,4241555.0,,7561.0
trey-sermon,RB,16323.0,4241401.0,33476.0,7593.0
jamycal-hasty,RB,15936.0,3928925.0,33199.0,6996.0
kyle-juszczyk,RB,9410.0,16002.0,26753.0,1379.0
josh-jacobs,RB,14673.0,4047365.0,31856.0,5850.0
kenyan-drake,RB,12101.0,2979843.0,29307.0,3242.0
mark-ingram,RB,7371.0,13981.0,24815.0,956.0
phillip-lindsay,RB,14063.0,3052117.0,31379.0,5170.0
david-johnson,RB,11187.0,2508176.0,28474.0,2391.0
antonio-gibson,RB,15591.0,4360294.0,32736.0,6945.0
jd-mckissic,RB,12572.0,2572861.0,29650.0,3664.0
jaret-patterson,RB,16630.0,4362452.0,33706.0,7537.0
dandre-swift,RB,15601.0,4259545.0,32705.0,6790.0
jamaal-williams,RB,13040.0,2980453.0,30247.0,4149.0
jonathan-taylor,RB,15604.0,4242335.0,32711.0,6813.0
nyheim-hines,RB,13900.0,3916430.0,31074.0,5347.0
marlon-mack,RB,13044.0,3139605.0,30256.0,4152.0
saquon-barkley,RB,13778.0,3929630.0,30972.0,4866.0
devontae-booker,RB,12151.0,3122866.0,29370.0,3209.0
tevin-coleman,RB,11188.0,2979477.0,28461.0,2378.0
ty-johnson,RB,14842.0,3915411.0,32018.0,6039.0
michael-carter-rb,RB,16618.0,4240657.0,33495.0,7607.0
david-montgomery,RB,14716.0,4035538.0,31905.0,5892.0
damien-williams,RB,10924.0,17359.0,28115.0,1833.0
deandre-hopkins,WR,9311.0,15795.0,26650.0,1426.0
christian-kirk,WR,13806.0,3895856.0,31017.0,4950.0
rondale-moore,WR,16327.0,4372485.0,33437.0,7601.0
aj-green,WR,,13983.0,24791.0,830.0
tyreek-hill,WR,12197.0,3116406.0,29399.0,3321.0
mecole-hardman,WR,14725.0,4035004.0,31888.0,5917.0
stefon-diggs,WR,11329.0,2976212.0,28534.0,2449.0
cole-beasley,WR,8735.0,15349.0,26060.0,1144.0
gabriel-davis,WR,15627.0,4243537.0,32798.0,6943.0
emmanuel-sanders,WR,6636.0,13295.0,24057.0,538.0
dk-metcalf,WR,14706.0,4047650.0,31896.0,5846.0
tyler-lockett,WR,11242.0,2577327.0,28457.0,2374.0
marquise-brown,WR,14661.0,4241372.0,31857.0,5848.0
sammy-watkins,WR,10256.0,16725.0,27532.0,1817.0
mike-evans,WR,10252.0,16737.0,27535.0,2216.0
chris-godwin,WR,12926.0,3116165.0,30197.0,4037.0
antonio-brown,WR,6660.0,13934.0,24171.0,536.0
davante-adams,WR,10295.0,16800.0,27581.0,2133.0
marquez-valdesscantling,WR,13952.0,3051738.0,31144.0,5086.0
allen-lazard,WR,14059.0,3128390.0,31268.0,5185.0
amari-cooper,WR,11177.0,2976499.0,28392.0,2309.0
ceedee-lamb,WR,15523.0,4241389.0,32687.0,6786.0
keenan-allen,WR,9380.0,15818.0,26699.0,1479.0
mike-williams-wr,WR,12890.0,3045138.0,30120.0,4068.0
devonta-smith,WR,16253.0,4241478.0,33398.0,7525.0
jalen-reagor,WR,15528.0,4241802.0,32691.0,6798.0
cooper-kupp,WR,12970.0,2977187.0,30182.0,4039.0
robert-woods,WR,9338.0,15880.0,26664.0,1352.0
van-jefferson,WR,15564.0,3930066.0,32727.0,6853.0
aj-brown,WR,14694.0,4047646.0,31883.0,5859.0
julio-jones,WR,7372.0,13982.0,24793.0,947.0
tee-higgins,WR,15585.0,4239993.0,32703.0,6801.0
jamarr-chase,WR,16250.0,4362628.0,33393.0,7564.0
tyler-boyd,WR,12051.0,3045144.0,29288.0,3225.0
jarvis-landry,WR,10307.0,16790.0,27591.0,1825.0
donovan-peoples-jones,WR,15642.0,4258195.0,32857.0,6824.0
justin-jefferson,WR,15540.0,4262921.0,32692.0,6794.0
adam-thielen,WR,9891.0,16460.0,27277.0,1689.0
marquez-callaway,WR,16044.0,4035170.0,33109.0,6989.0
deonte-harris,WR,15154.0,4411193.0,32398.0,6234.0
diontae-johnson,WR,14754.0,3932905.0,31898.0,5937.0
chase-claypool,WR,15597.0,4046692.0,32719.0,6886.0
juju-smith-schuster,WR,12950.0,3120348.0,30175.0,4040.0
courtland-sutton,WR,13795.0,3128429.0,31010.0,5045.0
tim-patrick,WR,13209.0,3134353.0,30511.0,4351.0
kj-hamler,WR,15608.0,4240380.0,32716.0,6805.0
calvin-ridley,WR,13776.0,3925357.0,30996.0,4981.0
russell-gage,WR,13967.0,3115378.0,31164.0,5110.0
jaylen-waddle,WR,16236.0,4372016.0,33394.0,7526.0
devante-parker,WR,11170.0,2576623.0,28402.0,2319.0
will-fuller,WR,12023.0,3052876.0,29255.0,3157.0
jakobi-meyers,WR,14949.0,3916433.0,32231.0,5947.0
nelson-agholor,WR,11178.0,2971618.0,28408.0,2325.0
laviska-shenault,WR,15558.0,4243160.0,32712.0,6814.0
marvin-jones,WR,8429.0,15072.0,25876.0,1067.0
dj-chark,WR,13790.0,3115394.0,31031.0,4951.0
dj-moore,WR,13764.0,3915416.0,30994.0,4983.0
robby-anderson,WR,12361.0,2574808.0,29785.0,3423.0
terrace-marshall,WR,16313.0,4362630.0,33447.0,7565.0
deebo-samuel,WR,14702.0,3126486.0,31868.0,5872.0
brandon-aiyuk,WR,15531.0,4360438.0,32695.0,6803.0
bryan-edwards,WR,15577.0,4038818.0,32751.0,6870.0
henry-ruggs,WR,15526.0,4241475.0,32682.0,6789.0
hunter-renfrow,WR,14836.0,3135321.0,31981.0,5955.0
brandin-cooks,WR,10242.0,16731.0,27548.0,2197.0
terry-mclaurin,WR,14746.0,3121422.0,31908.0,5927.0
dyami-brown,WR,16309.0,4361577.0,33470.0,7587.0
amonra-stbrown,WR,16373.0,4374302.0,33500.0,7547.0
tyrell-williams,WR,11504.0,2587819.0,28691.0,2583.0
quintez-cephus,WR,15703.0,4035793.0,32836.0,6895.0
michael-pittman,WR,15603.0,4035687.0,32704.0,6819.0
zach-pascal,WR,13333.0,2978109.0,30502.0,4319.0
parris-campbell,WR,14692.0,3121410.0,31891.0,5880.0
kenny-golladay,WR,12963.0,2974858.0,30209.0,4131.0
sterling-shepard,WR,12058.0,2976592.0,29274.0,3200.0
darius-slayton,WR,14833.0,3916945.0,32003.0,6149.0
corey-davis,WR,12913.0,3042778.0,30118.0,4036.0
elijah-moore,WR,16265.0,4372414.0,33422.0,7596.0
allen-robinson,WR,10305.0,16799.0,27589.0,1992.0
darnell-mooney,WR,15658.0,4040655.0,32843.0,7090.0
travis-kelce,TE,9360.0,15847.0,26686.0,1466.0
dawson-knox,TE,14734.0,3930086.0,31928.0,5906.0
gerald-everett,TE,12972.0,3918639.0,30157.0,4089.0
will-dissly,TE,14475.0,3127292.0,31090.0,5010.0
mark-andrews,TE,13829.0,3116365.0,31056.0,5012.0
rob-gronkowski,TE,6611.0,13229.0,24017.0,515.0
oj-howard,TE,12891.0,3043080.0,30132.0,4055.0
robert-tonyan,TE,13489.0,2975674.0,30777.0,4602.0
blake-jarwin,TE,13216.0,2991767.0,30784.0,4571.0
dalton-schultz,TE,13853.0,3117256.0,31107.0,5001.0
jared-cook,TE,6126.0,12537.0,9353.0,367.0
donald-parham,TE,15183.0,3912092.0,32456.0,6074.0
dallas-goedert,TE,13813.0,3121023.0,31019.0,5022.0
zach-ertz,TE,9376.0,15835.0,26658.0,1339.0
tyler-higbee,TE,12140.0,2573401.0,29344.0,3271.0
anthony-firkser,TE,13415.0,3049698.0,30571.0,4435.0
cj-uzomah,TE,11276.0,2574576.0,28545.0,2460.0
austin-hooper,TE,12069.0,3043275.0,29315.0,3202.0
david-njoku,TE,12904.0,3123076.0,30142.0,4033.0
harrison-bryant,TE,15644.0,4040774.0,32785.0,6850.0
tyler-conklin,TE,13980.0,3915486.0,31127.0,5133.0
chris-herndon,TE,13886.0,3123050.0,31077.0,5009.0
juwan-johnson,TE,16036.0,3929645.0,33113.0,7002.0
adam-trautman,TE,15575.0,3911853.0,32775.0,6869.0
eric-ebron,TE,10257.0,16732.0,27538.0,2118.0
pat-freiermuth,TE,16293.0,4361411.0,33443.0,7600.0
noah-fant,TE,14665.0,4036131.0,31852.0,5857.0
albert-okwuegbunam,TE,15716.0,4035115.0,32788.0,6843.0
kyle-pitts,TE,16256.0,4360248.0,33392.0,7553.0
hayden-hurst,TE,13774.0,3924365.0,30995.0,4973.0
mike-gesicki,TE,13845.0,3116164.0,31012.0,4993.0
jonnu-smith,TE,12974.0,3054212.0,30213.0,4144.0
hunter-henry,TE,12088.0,3046439.0,29269.0,3214.0
james-oshaughnessy,TE,11321.0,2508079.0,28561.0,2476.0
dan-arnold,TE,13665.0,4212989.0,30891.0,4741.0
george-kittle,TE,13023.0,3040151.0,30259.0,4217.0
darren-waller,TE,11261.0,2576925.0,28592.0,2505.0
jordan-akins,TE,13844.0,3128452.0,31068.0,5032.0
pharaoh-brown,TE,13377.0,2971281.0,30627.0,4443.0
logan-thomas,TE,10353.0,16813.0,27648.0,2251.0
tj-hockenson,TE,14677.0,4036133.0,31840.0,5844.0
jack-doyle,TE,9990.0,16504.0,27299.0,1706.0
mo-alie-cox,TE,12887.0,2998565.0,30112.0,4054.0
kyle-rudolph,TE,7444.0,14054.0,24830.0,943.0
tyler-kroft,TE,11199.0,2582410.0,28473.0,2390.0
ryan-griffin,TE,9458.0,15887.0,26824.0,1425.0
cole-kmet,TE,15573.0,4258595.0,32713.0,6826.0
jimmy-graham,TE,6610.0,13232.0,24070.0,616.0
matt-prater,K,4221.0,11122.0,8565.0,17.0
harrison-butker,K,13124.0,3055899.0,30346.0,4227.0
tyler-bass,K,15626.0,3917232.0,32858.0,7042.0
jason-myers,K,11124.0,2473037.0,28378.0,2747.0
justin-tucker,K,8663.0,15683.0,26534.0,1264.0
ryan-succop,K,6293.0,12731.0,9520.0,391.0
mason-crosby,K,4715.0,10636.0,8447.0,59.0
greg-zuerlein,K,8608.0,14993.0,25881.0,1266.0
tristan-vizcaino,K,14646.0,3127313.0,31808.0,5823.0
jake-elliott,K,13035.0,3050478.0,30266.0,4195.0
matt-gay,K,14848.0,4249087.0,31977.0,6083.0
randy-bullock,K,8478.0,15091.0,25871.0,1099.0
evan-mcpherson,K,16457.0,4360234.0,33537.0,7839.0
chase-mclaughlin,K,15412.0,3150744.0,32417.0,6650.0
greg-joseph,K,14337.0,3975763.0,31538.0,5272.0
aldrick-rosas,K,12578.0,3068939.0,29949.0,3827.0
chris-boswell,K,10779.0,17372.0,28188.0,1945.0
brandon-mcmanus,K,9754.0,16339.0,27120.0,1433.0
younghoe-koo,K,13324.0,3049899.0,30426.0,4666.0
jason-sanders,K,13977.0,3124679.0,31199.0,5119.0
nick-folk,K,4780.0,10621.0,8432.0,650.0
josh-lambo,K,11498.0,2998120.0,28685.0,2671.0
zane-gonzalez,K,13085.0,3043234.0,30337.0,4233.0
robbie-gould,K,2882.0,9354.0,7520.0,49.0
daniel-carlson,K,13947.0,3051909.0,31137.0,5095.0
joey-slye,K,15366.0,3124084.0,32384.0,6528.0
dustin-hopkins,K,9416.0,15965.0,26800.0,1348.0
rodrigo-blankenship,K,16124.0,3915165.0,33211.0,7062.0
graham-gano,K,6304.0,12460.0,9526.0,503.0
matt-ammendola,K,16225.0,3919602.0,33381.0,7617.0
cairo-santos,K,10888.0,17427.0,28227.0,2020.0
ari-dst,DST,2328.0,-16022.0,100022.0,
kc-dst,DST,2343.0,-16012.0,100012.0,
buf-dst,DST,2331.0,-16002.0,100002.0,
sea-dst,DST,2354.0,-16026.0,100026.0,
bal-dst,DST,2330.0,-16033.0,100033.0,
tb-dst,DST,2357.0,-16027.0,100027.0,
gb-dst,DST,2339.0,-16009.0,100009.0,
dal-dst,DST,2336.0,-16006.0,100006.0,
lac-dst,DST,2353.0,-16024.0,100024.0,
phi-dst,DST,2351.0,-16021.0,100021.0,
lar-dst,DST,2356.0,-16014.0,100014.0,
ten-dst,DST,2358.0,-16010.0,100010.0,
cin-dst,DST,2334.0,-16004.0,100004.0,
cle-dst,DST,2335.0,-16005.0,100005.0,
min-dst,DST,2345.0,-16016.0,100016.0,
no-dst,DST,2347.0,-16018.0,100018.0,
pit-dst,DST,2352.0,-16023.0,100023.0,
den-dst,DST,2337.0,-16007.0,100007.0,
atl-dst,DST,2329.0,-16001.0,100001.0,
mia-dst,DST,2344.0,-16015.0,100015.0,
ne-dst,DST,2346.0,-16017.0,100017.0,
jax-dst,DST,2342.0,-16030.0,100030.0,
car-dst,DST,2332.0,-16009.0,100029.0,
sf-dst,DST,2355.0,-16025.0,100025.0,
lv-dst,DST,2350.0,-16013.0,100013.0,
hou-dst,DST,2340.0,-16034.0,100034.0,
was-dst,DST,2359.0,-16028.0,100028.0,
det-dst,DST,2338.0,-16008.0,100008.0,
ind-dst,DST,2341.0,-16011.0,100011.0,
nyg-dst,DST,2348.0,-16019.0,100019.0,
nyj-dst,DST,2349.0,-16020.0,100020.0,
chi-dst,DST,2333.0,-16003.0,100003.0,
